sample	j_gene	frequency
PBMC_PRE	TRBJ1-1*00	0.147791966250085
PBMC_PRE	TRBJ1-2*00	0.0855995826623421
PBMC_PRE	TRBJ1-3*00	0.0137902878268956
PBMC_PRE	TRBJ1-4*00	0.0209462677765429
PBMC_PRE	TRBJ1-5*00	0.0370046950486516
PBMC_PRE	TRBJ1-6*00	0.0402821565469845
PBMC_PRE	TRBJ2-1*00	0.10010433441448
PBMC_PRE	TRBJ2-2*00	0.0783415364376602
PBMC_PRE	TRBJ2-3*00	0.032218920819252
PBMC_PRE	TRBJ2-4*00	0.00368572659847127
PBMC_PRE	TRBJ2-5*00	0.0612511057179795
PBMC_PRE	TRBJ2-6*00	0.0201524189707183
PBMC_PRE	TRBJ2-7*00	0.161627616865885
PBMC_PROGRESSION	TRBJ1-1*00	0.17266655414366
PBMC_PROGRESSION	TRBJ1-2*00	0.0633906396932944
PBMC_PROGRESSION	TRBJ1-3*00	0.00718539772864273
PBMC_PROGRESSION	TRBJ1-4*00	0.0148409808791262
PBMC_PROGRESSION	TRBJ1-5*00	0.0253900127793986
PBMC_PROGRESSION	TRBJ1-6*00	0.0240276806597063
PBMC_PROGRESSION	TRBJ2-1*00	0.150399054806742
PBMC_PROGRESSION	TRBJ2-2*00	0.0475128396788272
PBMC_PROGRESSION	TRBJ2-3*00	0.037156704361874
PBMC_PROGRESSION	TRBJ2-4*00	0.00279700045812939
PBMC_PROGRESSION	TRBJ2-5*00	0.0598943891206327
PBMC_PROGRESSION	TRBJ2-6*00	0.0219660984254816
PBMC_PROGRESSION	TRBJ2-7*00	0.134605647047477
PBMC_RELAPSE	TRBJ1-1*00	0.196511938108577
PBMC_RELAPSE	TRBJ1-2*00	0.0634086968120582
PBMC_RELAPSE	TRBJ1-3*00	0.00610244097639056
PBMC_RELAPSE	TRBJ1-4*00	0.0116546618647459
PBMC_RELAPSE	TRBJ1-5*00	0.0227757769774577
PBMC_RELAPSE	TRBJ1-6*00	0.0207416299853275
PBMC_RELAPSE	TRBJ2-1*00	0.145608243297319
PBMC_RELAPSE	TRBJ2-2*00	0.039265706282513
PBMC_RELAPSE	TRBJ2-3*00	0.0263105242096839
PBMC_RELAPSE	TRBJ2-4*00	0.00483526744030946
PBMC_RELAPSE	TRBJ2-5*00	0.0584900626917434
PBMC_RELAPSE	TRBJ2-6*00	0.0150393490729625
PBMC_RELAPSE	TRBJ2-7*00	0.0954548486061091
TUMOR_PRE	TRBJ1-1*00	0.0844459775310301
TUMOR_PRE	TRBJ1-2*00	0.0728962847100385
TUMOR_PRE	TRBJ1-3*00	0.00888529406517072
TUMOR_PRE	TRBJ1-4*00	0.0190492616403894
TUMOR_PRE	TRBJ1-5*00	0.0215828193858799
TUMOR_PRE	TRBJ1-6*00	0.0246516358099951
TUMOR_PRE	TRBJ2-1*00	0.13975604098892
TUMOR_PRE	TRBJ2-2*00	0.187031276948788
TUMOR_PRE	TRBJ2-3*00	0.030396745627234
TUMOR_PRE	TRBJ2-4*00	0.00955139375412595
TUMOR_PRE	TRBJ2-5*00	0.0673771730015523
TUMOR_PRE	TRBJ2-6*00	0.0245445840742701
TUMOR_PRE	TRBJ2-7*00	0.132137525796495
TUMOR_PROGRESSION	TRBJ1-1*00	0.148042897596048
TUMOR_PROGRESSION	TRBJ1-2*00	0.0938485329263149
TUMOR_PROGRESSION	TRBJ1-3*00	0.0127628381499408
TUMOR_PROGRESSION	TRBJ1-4*00	0.0278854457453859
TUMOR_PROGRESSION	TRBJ1-5*00	0.0460104834012813
TUMOR_PROGRESSION	TRBJ1-6*00	0.0360392022975117
TUMOR_PROGRESSION	TRBJ2-1*00	0.0988291526921455
TUMOR_PROGRESSION	TRBJ2-2*00	0.0877231739401121
TUMOR_PROGRESSION	TRBJ2-3*00	0.0258068403189203
TUMOR_PROGRESSION	TRBJ2-4*00	0.00626594099572229
TUMOR_PROGRESSION	TRBJ2-5*00	0.0695780531399996
TUMOR_PROGRESSION	TRBJ2-6*00	0.020545056534051
TUMOR_PROGRESSION	TRBJ2-7*00	0.148946639085815
