sample	v_gene	frequency
PBMC_PRE	TRBV10-1*00	0.00488784050443421
PBMC_PRE	TRBV10-2*00	0.00782508108598517
PBMC_PRE	TRBV10-3*00	0.0241330036970673
PBMC_PRE	TRBV11-1*00	0.00793848805824582
PBMC_PRE	TRBV11-2*00	0.0285445349180068
PBMC_PRE	TRBV11-3*00	0.00210936968404818
PBMC_PRE	TRBV12-3*00	0.0441153122093946
PBMC_PRE	TRBV12-5*00	0.00603325092426682
PBMC_PRE	TRBV13*00	0.00222277665630883
PBMC_PRE	TRBV14*00	0.0181224341672526
PBMC_PRE	TRBV15*00	0.0395223298328381
PBMC_PRE	TRBV16*00	0.00149697203384064
PBMC_PRE	TRBV18*00	0.0618181405792828
PBMC_PRE	TRBV19*00	0.0207194538320216
PBMC_PRE	TRBV2*00	0.0151171494023453
PBMC_PRE	TRBV20-1*00	0.0644151602440518
PBMC_PRE	TRBV23-1*00	0.0044001905237134
PBMC_PRE	TRBV24-1*00	0.00362902311234095
PBMC_PRE	TRBV25-1*00	0.031357027830071
PBMC_PRE	TRBV27*00	0.014550114541042
PBMC_PRE	TRBV28*00	0.0250062373834743
PBMC_PRE	TRBV29-1*00	0.0249268525028919
PBMC_PRE	TRBV3-1*00	0.0159109982081698
PBMC_PRE	TRBV30*00	0.00766631132482025
PBMC_PRE	TRBV4-1*00	0.044001905237134
PBMC_PRE	TRBV4-2*00	0.0198915829345188
PBMC_PRE	TRBV4-3*00	0.0734310145387738
PBMC_PRE	TRBV5-1*00	0.0687473065844088
PBMC_PRE	TRBV5-4*00	0.00147429063938851
PBMC_PRE	TRBV5-5*00	0.000657760439111797
PBMC_PRE	TRBV5-6*00	0.000918596475311302
PBMC_PRE	TRBV5-7*00	2.26813944521309e-05
PBMC_PRE	TRBV5-8*00	0.00396924402912291
PBMC_PRE	TRBV6-1*00	0.0186894690285559
PBMC_PRE	TRBV6-2*00	0.0108984100342489
PBMC_PRE	TRBV6-4*00	0.00512599514618159
PBMC_PRE	TRBV6-5*00	0.0154687110163533
PBMC_PRE	TRBV6-6*00	0.0206400689514391
PBMC_PRE	TRBV6-7*00	0.000204132550069178
PBMC_PRE	TRBV6-8*00	0.000181451155617047
PBMC_PRE	TRBV6-9*00	0.000170110458390982
