component	version	detail
nextflow	25.10.4	build 11173
java	21.0.12	local OpenJDK runtime used for validated execution
python	3.12.3	validated local environment
fastqc	0.12.1	/usr/bin/fastqc
multiqc	1.35	project .venv
mixcr	4.7.0-370-develop	rev=00eb424cfc; repseqio.v6.3; sha256=9bec19ddbc5314949ada3a4acf156f4996736c3b8ff2f213360d1f0900d151a7
R	4.3.3	validated local environment
dplyr	1.2.1	R package
tidyr	1.3.2	R package
ggplot2	4.0.3	R package
streamlit	1.62.0	Python package
pandas	3.0.5	Python package
numpy	2.5.2	Python package
scipy	1.18.1	Python package
matplotlib	3.11.1	Python package
seaborn	0.13.2	Python package
plotly	7.0.0	Python package
pytest	9.1.1	development/test package
